id,size,forks,open_issues,subscribers_count,stargazers_count,language_dictionary,owner_type,url,pushed_at,topics,description
747512,15145,1286,8,707,8195,"{'clojure': 1276374, 'html': 16138, 'java': 1970424, 'shell': 276}",Organization,https://api.github.com/repos/clojure/clojure,2019-12-25T06:38:54Z,[],the clojure programming language
48446680,587,1281,6,263,8192,{'java': 126120},Organization,https://api.github.com/repos/googlesamples/easypermissions,2019-09-23T19:25:05Z,"['android', 'android-library', 'permissions']",simplify android m system permissions
71972,5053,2272,108,325,8190,"{'javascript': 5674, 'makefile': 1015}",User,https://api.github.com/repos/tuupola/lazyload,2019-10-17T18:08:06Z,[],vanilla javascript plugin for lazyloading images
46891997,396095,1067,299,422,8176,"{'css': 109238, 'html': 21340, 'javascript': 4701333, 'nsis': 76854, 'powershell': 5172, 'python': 19705, 'ruby': 3369, 'shell': 9718, 'smarty': 2757}",Organization,https://api.github.com/repos/brave/browser-laptop,2019-04-11T05:59:09Z,"['bat', 'brave', 'browser', 'electron', 'linux', 'macos', 'muon', 'windows']",deprecated please see https and and github com and brave and brave browser for the current version of brave
40010613,440,2506,79,446,8174,{'objective-c': 23000},User,https://api.github.com/repos/ChenYilong/iOSInterviewQuestions,2019-09-16T12:42:12Z,[],ios interview questions ios  qq telegram  https and and github com and chenyilong and iosblog and issues and 
2269353,589,1177,27,257,8169,"{'css': 1282, 'html': 9980, 'javascript': 36136}",User,https://api.github.com/repos/desandro/imagesloaded,2019-08-20T21:06:31Z,[],camera javascript is all like you images done yet or what
21299916,3214,311,32,138,8163,"{'css': 610, 'html': 100036, 'javascript': 134539}",User,https://api.github.com/repos/addyosmani/critical,2019-12-13T15:38:22Z,"['critical-css', 'critical-path-css', 'critical-path-styles', 'inline-css', 'inline-styles']",extract inline critical path css in html pages
839076,1915,767,151,324,8160,"{'css': 1889, 'javascript': 264444}",User,https://api.github.com/repos/mishoo/UglifyJS,2019-02-08T11:21:38Z,[],javascript parser and mangler and compressor and beautifier library for nodejs
52451887,5638,1587,8,323,8158,"{'python': 16836, 'tex': 66167}",User,https://api.github.com/repos/vdumoulin/conv_arithmetic,2019-05-06T20:05:05Z,[],a technical report on convolution arithmetic in the context of deep learning
90961634,35042,1085,77,282,8098,"{'awk': 1104, 'c': 16436952, 'c++': 3187148, 'java': 877474, 'makefile': 6812, 'objective-c': 392281, 'objective-c++': 448316, 'ruby': 5933, 'shell': 10151, 'swift': 857964}",Organization,https://api.github.com/repos/Tencent/wcdb,2019-12-26T09:10:27Z,"['android', 'database', 'ios', 'mobile', 'mobile-database', 'sqlcipher', 'sqlite', 'wechat']",wcdb is a cross platform database framework developed by wechat
117360777,19124,1521,26,293,8080,"{'css': 158276, 'html': 94506, 'java': 393, 'javascript': 1738460, 'vue': 450854}",Organization,https://api.github.com/repos/d2-projects/d2-admin,2019-12-31T05:22:18Z,"['admin', 'admin-dashboard', 'admin-template', 'axios', 'csv', 'dashboar', 'desktop', 'element', 'element-ui', 'fontawesome', 'i18n', 'management-system', 'mock', 'vue-admin', 'vue-cli', 'vue-cli3', 'vuex', 'webpack', 'xlsx']",rainbow an elegant dashboard
