language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
stata,5,0.0007031359864997891,158958,5.587475895389506e-06,0.2499542704758413,0.05,0.1053,0.0045,0.23834216683378695,2.756230711768281e-07
vhdl,8,0.0011250175783996624,1406497,4.943927379834707e-05,0.24909993748572784,0.0311,0.0507,0.0137,0.15063420183378967,5.810458788015443e-06
lfe,1,0.0001406271972999578,209679,7.370351654332442e-06,0.24885972377008614,0.24885972377008614,0.24885972377008614,0.24885972377008614,0.24885972377008614,0.24885972377008614
smalltalk,40,0.005625087891998313,2204799,7.750010233318793e-05,0.23583207420560365,0.0059,0.0149,0.0001,0.07508392831990456,7.372795210443488e-09
pawn,29,0.004078188721698776,12754237,0.0004483196303525772,0.2338813173358376,0.0081,0.0322,0.0002,0.17155057425320047,4.60591207838019e-06
protocol buffer,5,0.0007031359864997891,243842,8.571203068002666e-06,0.2301969511476923,0.046,0.0619,0.0063,0.1361286632988893,0.00023958646243902934
hlsl,24,0.0033750527351989875,3005715,0.00010565281464859062,0.2207480294984488,0.0092,0.0098,0.0058,0.031233361021775576,3.086162918316591e-05
verilog,12,0.0016875263675994938,1602545,5.633048703919888e-05,0.21844517767323987,0.0182,0.0519,0.001,0.18202640091981798,1.9181514553207607e-06
prolog,23,0.0032344255378990295,859705,3.021918346132837e-05,0.21701748507897062,0.0094,0.0356,0.0008,0.172114847963421,2.570622674032451e-05
vbscript,33,0.004640697510898608,202410,7.114841631033291e-06,0.20973230010133215,0.0064,0.0219,0.0002,0.09983019668883543,3.536054759334381e-07
gap,32,0.00450007031359865,2118213,7.445654876634514e-05,0.20159627150187598,0.0063,0.0157,0.0019,0.08716736775274764,7.250106939077351e-06
thrift,27,0.003796934327098861,1403823,4.934528097921075e-05,0.18082558151845346,0.0067,0.0124,0.0012,0.04820674704293919,1.872211856911367e-05
rebol,13,0.0018281535648994515,1020928,3.588627556290478e-05,0.1801443526180874,0.0139,0.045,0.0005,0.16335739721127363,1.146289117358614e-06
systemverilog,6,0.0008437631837997469,1131344,3.976746895024815e-05,0.16973254837310245,0.0283,0.0643,0.0014,0.15951508952622562,5.915451581677016e-05
vcl,4,0.0005625087891998312,70241,2.4690163085095075e-06,0.16941441883780378,0.0424,0.0828,0.0013,0.16655642617278926,0.00023608536840641405
scilab,14,0.0019687807621994093,1455381,5.115757782626778e-05,0.16893273826934557,0.0121,0.0341,0.0001,0.12924317132876192,2.357369839556254e-07
webassembly,8,0.0011250175783996624,121987,4.28792147643327e-06,0.1654129769798665,0.0207,0.0397,0.0005,0.10691147685606374,0.000164986688092873
gdb,42,0.005906342286598228,137867,4.846113685814272e-06,0.1601093150971669,0.0038,0.0231,0.0,0.15010815184188367,2.5293302630308505e-06
angelscript,14,0.0019687807621994093,1689841,5.939899756250644e-05,0.15927317230852345,0.0114,0.0337,0.0008,0.12787138452319372,4.1044267570477536e-05
logos,23,0.0032344255378990295,253955,8.92668151973252e-06,0.1430037214579958,0.0062,0.008,0.0023,0.02874284689502258,9.921098179396634e-08
apex,3,0.00042188159189987344,1016940,3.574609479898718e-05,0.12954629763711556,0.0432,0.0667,0.006,0.12022893250372052,0.0033619614124218633
ada,16,0.002250035156799325,712113,2.5031229773232597e-05,0.12751710009341102,0.008,0.0155,0.0022,0.05946278627801368,6.930547229078661e-07
rpc,11,0.001546899170299536,2445363,8.595608159373778e-05,0.12661169924926882,0.0115,0.0247,0.0027,0.08387689935698533,2.2855265190616768e-05
dogescript,2,0.0002812543945999156,10292,3.6177041681040774e-07,0.11461701507680222,0.0573,0.078,0.0573,0.11249338274219163,0.0021236323346105904
xs,14,0.0019687807621994093,2647386,9.305731992596562e-05,0.11437835694823452,0.0082,0.013,0.0011,0.03531980905332259,1.5063142688161247e-06
renderscript,7,0.0009843903810997047,140515,4.939192588234983e-06,0.11207553178983252,0.016,0.0271,0.0003,0.05665017440599344,2.956385561075263e-06
standard ml,26,0.003656307129798903,578424,2.0331975473488466e-05,0.11154648984596309,0.0043,0.0095,0.0007,0.03554388089105965,3.884972812778148e-06
volt,4,0.0005625087891998312,515199,1.8109576075622354e-05,0.09004315935331351,0.0225,0.0287,0.0147,0.06057610166343883,5.7599275296390815e-05
