language,count,count_distribution,bytes,bytes_distribution,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
maxscript,5,0.0002134927412467976,167209,8.349663357971222e-06,0.0051,0.0067,0.0016,0.015584422120669177,4.781488182161492e-05
shaderlab,5,0.0002134927412467976,197576,9.866054384719257e-06,0.0082,0.0087,0.0037,0.019886493451896803,0.00019676122302368046
piglatin,5,0.0002134927412467976,13228,6.605466625555044e-07,0.0036,0.0049,0.001,0.011573284980356603,7.685147885750284e-05
moonscript,4,0.0001707941929974381,564950,2.8211055111183264e-05,0.2396,0.2758,0.2066,0.5446953532399756,0.0006799150542455426
ampl,6,0.00025619128949615715,89926,4.490498879419889e-06,0.0015,0.0018,0.0005,0.0038579359530402516,4.821540450331878e-05
slice,1,4.269854824935952e-05,39939,1.9943735376326196e-06,0.011287123172614504,0.011287123172614504,0.011287123172614504,0.011287123172614504,0.011287123172614504
module management system,3,0.00012809564474807857,144198,7.2005977961278065e-06,0.0014,0.0013,0.001,0.0029009694111820214,0.0003844224625437604
sas,3,0.00012809564474807857,18344,9.160166297186402e-07,0.0006,0.0005,0.0004,0.0012329254510658097,0.00020540007227404269
rpc,7,0.00029888983774551667,1868937,9.332628499217544e-05,0.0179,0.0298,0.0032,0.08387689935698533,0.002102113959908297
powerbuilder,1,4.269854824935952e-05,25949,1.2957760316489858e-06,0.021506632917771048,0.021506632917771048,0.021506632917771048,0.021506632917771048,0.021506632917771048
ada,4,0.0001707941929974381,244361,1.2202286287324282e-05,0.0173,0.0283,0.0048,0.05946278627801368,6.300707155929704e-05
apacheconf,4,0.0001707941929974381,43252,2.1598098162118744e-06,0.0145,0.0244,0.0035,0.05092149319857003,0.0001245573280207024
nearley,1,4.269854824935952e-05,12794,6.388746598680922e-07,0.08023882244479426,0.08023882244479426,0.08023882244479426,0.08023882244479426,0.08023882244479426
game maker language,1,4.269854824935952e-05,14164,7.072862812546238e-07,0.00262387451640607,0.00262387451640607,0.00262387451640607,0.00262387451640607,0.00262387451640607
vala,4,0.0001707941929974381,3270476,0.00016331282179980918,0.4169,0.4563,0.3796,0.895559802750998,0.013078117016699383
d,5,0.0002134927412467976,26104264,0.0013035292155781524,0.3721,0.4983,0.0198,0.9479475321219833,0.002720616733005464
objective-j,3,0.00012809564474807857,6997983,0.0003494477105586753,0.2132,0.3691,0.0001,0.6394210572632717,9.804878024866151e-06
jasmin,2,8.539709649871905e-05,1639,8.18442682135222e-08,0.0001,0.0001,0.0001,0.00014794963644506722,9.804878024866151e-06
parrot,1,4.269854824935952e-05,454926,2.2716952752473948e-05,0.02896820009571886,0.02896820009571886,0.02896820009571886,0.02896820009571886,0.02896820009571886
nu,3,0.00012809564474807857,382679,1.9109263401880696e-05,0.1333,0.23,0.0006,0.39885661097570435,0.0005171774535718546
nemerle,1,4.269854824935952e-05,3001,1.498564056795486e-07,8.223063630181455e-05,8.223063630181455e-05,8.223063630181455e-05,8.223063630181455e-05,8.223063630181455e-05
supercollider,1,4.269854824935952e-05,2896,1.4461317922291659e-07,0.001968768907591589,0.001968768907591589,0.001968768907591589,0.001968768907591589,0.001968768907591589
mirc script,1,4.269854824935952e-05,123161,6.150104891669071e-06,0.031002930100489358,0.031002930100489358,0.031002930100489358,0.031002930100489358,0.031002930100489358
lfe,1,4.269854824935952e-05,209679,1.0470423620953704e-05,0.24885972377008614,0.24885972377008614,0.24885972377008614,0.24885972377008614,0.24885972377008614
autoit,1,4.269854824935952e-05,782,3.904955322939253e-08,6.717560924068368e-05,6.717560924068368e-05,6.717560924068368e-05,6.717560924068368e-05,6.717560924068368e-05
f*,1,4.269854824935952e-05,7772358,0.0003881165056763362,0.6592630504660771,0.6592630504660771,0.6592630504660771,0.6592630504660771,0.6592630504660771
objectscript,1,4.269854824935952e-05,14758,7.36947962352142e-07,0.0006329491234653943,0.0006329491234653943,0.0006329491234653943,0.0006329491234653943,0.0006329491234653943
